resume_text,label
"Data analyst with strong SQL and Python skills. Experience using pandas, matplotlib, and basic regression models for business insights.",1
"Software engineer with experience building backend APIs in Python and Java. Exposure to ML through internal recommendation system project.",1
"Applied data scientist with experience in A/B testing, predictive modeling, and stakeholder communication. Used Python and SQL extensively.",1
"Entry-level ML practitioner who completed TensorFlow and PyTorch projects including image classification and text sentiment analysis.",1
"Computer science graduate with strong algorithms background. Built capstone project using machine learning for fraud detection.",1
"Quantitative researcher with experience in time series forecasting, statistical modeling, and Python-based simulations.",1
"Research assistant working on NLP models for document classification using transformers and spaCy.",1
"Analytics engineer with SQL, dbt, and Python experience. Built data models and supported ML feature pipelines.",1
"Software developer with experience in cloud-based systems and some exposure to ML model integration.",1
"Business intelligence analyst primarily using Excel and Tableau for reporting. Limited exposure to predictive analytics.",0
"Marketing analyst using Google Analytics and dashboards to track campaign performance.",0
"Administrative coordinator responsible for reporting and data entry using spreadsheets.",0
"Customer support specialist with experience using CRM tools and basic reporting.",0
"Operations manager focused on logistics and workflow optimization using manual reports.",0
"Junior data scientist familiar with Python, pandas, and basic machine learning algorithms. Completed multiple Kaggle projects.",1
"Machine learning intern who assisted in training models, cleaning data, and evaluating performance metrics.",1
"Backend software engineer with experience integrating ML APIs and deploying services.",1
"Data engineer with experience in ETL pipelines, Spark, Airflow, and supporting ML workflows.",1
"MLOps specialist working on CI/CD pipelines for ML model deployment and monitoring.",1
"Graduate student in AI working on reinforcement learning and neural network optimization.",1
"Full stack engineer with exposure to data analytics and basic ML for personalization features.",1
"Product analyst using SQL and Python to analyze user behavior and inform ML-driven features.",1
"Junior research scientist working on probabilistic models and Bayesian inference.",1
"Applied ML engineer focusing on model optimization and feature engineering.",1
"Teacher using Excel and basic statistics to track student performance.",0
"HR analyst focused on workforce reporting and compliance metrics.",0
"Sales analyst primarily using Excel and CRM dashboards.",0
"Graphic designer with some exposure to data visualization tools.",0
"Office assistant managing records and scheduling tasks.",0
"AI research intern working on computer vision models using PyTorch.",1
"Computer vision engineer specializing in object detection and image segmentation.",1
"NLP engineer working on named entity recognition and text classification systems.",1
"Data science bootcamp graduate with hands-on ML projects in regression and classification.",1
"Junior SWE transitioning into ML with Python-based modeling projects.",1
"Statistical analyst using R and Python for hypothesis testing and predictive modeling.",1
"ML engineer working on recommendation systems and ranking algorithms.",1
"Applied scientist developing large-scale machine learning systems.",1
"Research engineer working on foundation models and distributed training.",1
"Quant developer building algorithmic trading models in Python.",1
"Senior retail store manager with 12 years of experience overseeing operations for large department store chain. Managed team of 45 associates across multiple departments including sales floor, inventory, and customer service. Responsible for P&L management with annual revenue of $8M. Implemented staff scheduling systems and performance tracking using basic Excel spreadsheets. Bachelor's degree in Business Administration. Strong leadership and conflict resolution skills but no programming or technical analytics experience.",0
"Executive assistant to C-suite leadership at Fortune 500 company with 10 years of experience managing complex calendars, travel arrangements, and confidential communications. Coordinated board meetings and prepared presentation materials using PowerPoint and Word. Managed expense reporting and basic budget tracking in Excel. Bachelor's degree in English Literature. Excellent organizational skills and attention to detail but no exposure to data science, programming, or analytical tools beyond standard office software.",0
"Licensed real estate broker with 15 years of experience in residential and commercial property sales totaling $50M+ in transactions. Expert in market analysis using MLS databases and comparable sales research. Built client relationships and negotiated complex deals. Bachelor's degree in Marketing. Used CRM systems for lead tracking and basic Excel for commission calculations. Strong sales and negotiation skills but no technical programming or data analytics background.",0
"Registered nurse with 8 years of clinical experience in emergency department and intensive care settings. Expert in patient assessment, medication administration, and care coordination. Used electronic health record systems for documentation. BSN from accredited nursing program with multiple certifications including ACLS and PALS. Strong critical thinking and patient communication skills but no exposure to data science, programming, or analytical modeling.",0
"Head chef at upscale restaurant with 14 years of culinary experience including 6 years in leadership roles. Managed kitchen staff of 12, developed seasonal menus, and maintained food cost targets. Responsible for inventory management, vendor relationships, and quality control. Culinary degree from prestigious institute. Used basic POS systems and spreadsheets for ordering. Creative and leadership skills but no technical or analytical background.",0
"Human resources director with 11 years of experience managing full employee lifecycle including recruitment, onboarding, benefits administration, and employee relations. Implemented HRIS system and managed compliance with employment regulations. MBA with HR concentration. Used ADP and Workday for HR management. Strong interpersonal and policy development skills but limited exposure to advanced analytics or programming beyond basic Excel reporting.",0
"Physical therapist with 9 years of clinical experience treating orthopedic and sports injuries. Developed individualized treatment plans and tracked patient progress. Doctor of Physical Therapy degree with board certification. Used EMR systems for documentation and basic outcome tracking. Strong clinical reasoning and patient education skills but no background in programming, data science, or technical analysis.",0
"Commercial airline pilot with 18 years of flight experience and 12,000+ hours logged across multiple aircraft types including Boeing 737 and 787. Held ATP certificate with type ratings. Responsible for flight safety, crew management, and regulatory compliance. Bachelor's degree in Aviation. Used flight management systems and navigation technology but no programming or data analytics experience beyond standard aviation tools.",0
"Senior paralegal with 10 years of experience in corporate law and litigation support. Managed document review, legal research, and case file organization for complex matters. Proficient in Westlaw and LexisNexis research databases. Associate's degree in Paralegal Studies with professional certification. Strong attention to detail and legal writing skills but no exposure to programming, data science, or technical analytics.",0
"Veterinarian with 12 years of experience in small animal medicine and surgery. Managed clinical practice including diagnostics, treatment planning, and client education. DVM degree with specialization in internal medicine. Used practice management software for patient records and billing. Strong diagnostic and communication skills but no background in programming or data analytics beyond basic practice metrics.",0
"Dental hygienist with 7 years of clinical experience performing cleanings, assessments, and patient education. Worked with digital X-ray systems and practice management software. Associate's degree in Dental Hygiene with state licensure. Strong patient care and preventive health skills but no exposure to programming, data science, or technical analysis beyond standard dental office systems.",0
"Senior loan officer with 13 years of experience in mortgage lending processing residential and commercial applications. Expert in underwriting guidelines, credit analysis, and regulatory compliance. Managed loan pipeline and client relationships. Bachelor's degree in Finance. Used loan origination software and basic Excel for tracking. Strong financial knowledge but limited technical or programming skills beyond industry-standard tools.",0
"Wedding and event planner with 9 years of experience coordinating 200+ events ranging from intimate gatherings to large corporate functions. Managed vendor relationships, budgets up to $500K, and day-of logistics. Bachelor's degree in Hospitality Management. Used event planning software and Excel for budgets. Strong organizational and creative skills but no technical programming or analytics background.",0
"Licensed clinical social worker with 11 years of experience in mental health counseling and case management. Provided individual and group therapy for diverse populations. Master's degree in Social Work with clinical licensure. Used electronic case management systems for documentation. Strong therapeutic and advocacy skills but no exposure to programming, data science, or technical analysis.",0
"Occupational therapist with 8 years of experience in pediatric and geriatric rehabilitation settings. Developed treatment plans and adaptive strategies for patients with disabilities. Master's degree in Occupational Therapy with board certification. Used therapy documentation systems and basic outcome tracking. Strong clinical skills but no background in programming or data analytics.",0
"Senior flight attendant with 16 years of experience ensuring passenger safety and service on international routes. Led cabin crew teams and managed in-flight operations. Certified in emergency procedures and customer service excellence. Some college completed. Strong safety awareness and interpersonal skills but no technical or analytical background beyond airline systems.",0
"Certified public accountant with 10 years of experience in tax preparation and audit for small businesses and individuals. Expert in tax code compliance and financial statement analysis. CPA license with Master's in Accounting. Used QuickBooks, tax preparation software, and Excel for financial tracking. Strong analytical skills within accounting domain but no programming or data science experience.",0
"Massage therapist with 8 years of experience in therapeutic and sports massage at wellness spa and private practice. Developed treatment protocols for various conditions. Certificate from accredited massage school with multiple modality certifications. Used basic scheduling and client management software. Strong hands-on therapeutic skills but no technical or analytical background.",0
"Probation officer with 12 years of experience supervising offenders and conducting risk assessments. Managed caseloads of 80+ individuals and coordinated with courts and social services. Bachelor's degree in Criminal Justice. Used case management databases and prepared compliance reports. Strong assessment and communication skills but no programming or data analytics experience.",0
"Church pastor with 20 years of ministry experience leading congregations and developing spiritual programs. Managed staff, budgets, and community outreach initiatives. Master of Divinity degree. Used basic office software and church management databases. Strong leadership and counseling skills but no technical programming or data science background.",0
"Professional photographer with 11 years of experience in portrait, wedding, and commercial photography. Managed client relationships, photo editing, and business operations. Expert in Adobe Lightroom and Photoshop for image editing. Bachelor's degree in Fine Arts. Strong creative and business skills but no programming or data analytics experience beyond photography software.",0
"Firefighter and paramedic with 14 years of emergency response experience. Led rescue operations and provided pre-hospital medical care. Certified EMT-P with multiple firefighting certifications. Used dispatch systems and basic incident reporting tools. Strong emergency response and leadership skills but no technical programming or analytics background.",0
"Chiropractor with 10 years of clinical practice treating musculoskeletal conditions. Developed treatment plans and managed patient relationships. Doctor of Chiropractic degree with state licensure. Used practice management and billing software. Strong diagnostic and patient care skills but no background in programming or data science.",0
"Court reporter with 15 years of experience providing verbatim transcription for legal proceedings. Expert in stenography with 225+ WPM certification. Used court reporting software and transcript management systems. Strong attention to detail and language skills but no exposure to programming, data analysis, or technical fields.",0
"Optometrist with 9 years of clinical experience providing vision care and prescribing corrective lenses. Managed private practice including patient care and business operations. Doctor of Optometry degree. Used optical equipment and practice management software. Strong clinical and business skills but no programming or data analytics background.",0
"Real estate appraiser with 12 years of experience conducting residential and commercial property valuations. Expert in market analysis and appraisal methodology. State-certified appraiser with Bachelor's in Real Estate. Used appraisal software and MLS databases. Strong analytical skills within real estate domain but no programming or data science experience.",0
"Hospice nurse with 10 years of experience providing end-of-life care and family support. Coordinated with interdisciplinary teams and managed complex symptom management. BSN with hospice certification. Used EMR systems for documentation. Strong compassionate care and clinical skills but no technical programming or analytics background.",0
"Personal fitness trainer with 8 years of experience developing customized workout programs and nutrition plans. Managed client relationships and tracked progress using fitness apps. Multiple certifications including NASM and nutrition coaching. Strong motivational and assessment skills but no programming or data analytics experience beyond basic fitness tracking tools.",0
"High school principal with 18 years in education including 8 years in administration. Led school improvement initiatives and managed staff of 60 teachers. Master's degree in Educational Leadership. Used student information systems and basic reporting tools. Strong leadership and educational expertise but no programming or technical analytics background.",0
"Pharmacist with 11 years of retail pharmacy experience dispensing medications and providing patient counseling. Managed pharmacy operations and medication therapy management. PharmD degree with state licensure. Used pharmacy management systems. Strong pharmaceutical knowledge but no background in programming or data science beyond standard pharmacy tools.",0
"Licensed insurance adjuster with 14 years of experience investigating and settling property and casualty claims. Expert in policy interpretation and damage assessment. Professional designation with Bachelor's in Business. Used claims management software and basic Excel. Strong investigation and negotiation skills but no programming or data analytics experience.",0
"Speech-language pathologist with 9 years of experience treating communication and swallowing disorders in hospital and school settings. Developed treatment plans and collaborated with multidisciplinary teams. Master's degree in Speech-Language Pathology. Used therapy documentation systems. Strong clinical skills but no exposure to programming or data science.",0
"Funeral director with 16 years of experience managing funeral services and providing grief support to families. Managed facility operations, staff, and regulatory compliance. Licensed mortician with degree in Mortuary Science. Used funeral home management software. Strong compassionate service and business skills but no technical or analytical background.",0
"Interior designer with 10 years of experience creating residential and commercial design concepts. Managed client relationships, vendor coordination, and project budgets up to $2M. Bachelor's degree in Interior Design. Used CAD software for design and basic Excel for budgets. Strong creative and project management skills but no programming or data analytics experience.",0
"Dental office manager with 12 years of experience overseeing practice operations, billing, and patient scheduling. Managed staff of 8 and maintained compliance with healthcare regulations. Bachelor's degree in Healthcare Administration. Used dental practice management software. Strong operational skills but no programming or data science background.",0
"Youth minister with 11 years of experience developing spiritual programs for teenagers and young adults. Managed volunteers, organized events, and provided counseling. Master's degree in Youth Ministry. Used basic church management software and social media. Strong mentoring and organizational skills but no technical or analytical background.",0
"Certified nursing assistant with 6 years of experience providing direct patient care in long-term care facilities. Assisted with daily living activities and monitored patient conditions. State CNA certification with ongoing training. Used basic EMR systems for documentation. Strong patient care skills but no exposure to programming or data analytics.",0
"Automotive service manager with 13 years of experience overseeing repair operations and customer service. Managed team of 10 technicians and maintained shop efficiency metrics. Associate's degree in Automotive Technology. Used shop management software for work orders and invoicing. Strong technical automotive knowledge but no programming or data analytics experience.",0
"Dietitian with 8 years of experience in clinical nutrition and meal planning for hospitals and long-term care facilities. Developed therapeutic diets and provided nutrition counseling. Master's degree in Nutrition with RD credential. Used nutrition analysis software. Strong clinical nutrition skills but no background in programming or data science.",0
"911 dispatcher with 10 years of experience handling emergency calls and coordinating first responder units. Managed high-stress situations and multi-tasked across communication systems. Training certification with ongoing professional development. Used CAD dispatch systems. Strong communication and crisis management skills but no programming or analytics background.",0
"Surgical technologist with 7 years of operating room experience preparing instruments and assisting surgeons. Expert in sterile technique and surgical procedures. Associate's degree in Surgical Technology with certification. Used basic surgical tracking systems. Strong technical surgical skills but no exposure to programming or data analytics.",0
"Property manager with 11 years of experience overseeing residential apartment complexes with 500+ units. Managed tenant relations, maintenance staff, and budgets up to $3M annually. Bachelor's degree in Property Management. Used property management software and basic Excel. Strong operational skills but no programming or data science background.",0
"Certified medical coder with 9 years of experience in ICD-10 and CPT coding for hospital and physician billing. Expert in coding compliance and denial management. AAPC certification with ongoing education. Used coding software and basic Excel for productivity tracking. Strong healthcare coding knowledge but no programming or data analytics experience.",0
"Sommelier with 12 years of wine industry experience including 5 years as head sommelier at fine dining restaurant. Expert in wine selection, food pairing, and cellar management. Advanced Sommelier certification. Used inventory management systems and POS. Strong wine knowledge and hospitality skills but no technical or analytical background.",0
"School counselor with 10 years of experience providing academic and emotional support to K-12 students. Developed counseling programs and coordinated with teachers and families. Master's degree in School Counseling with state certification. Used student information systems. Strong counseling and educational skills but no programming or data science background.",0
"Makeup artist with 8 years of experience in bridal, editorial, and film production settings. Built client portfolio and managed freelance business operations. Cosmetology license with specialized training. Used booking software and social media for marketing. Strong creative and client service skills but no technical or analytical background.",0
"Building inspector with 14 years of experience conducting residential and commercial property inspections for code compliance. Expert in building codes and construction standards. State certification with continuing education. Used inspection software and basic reporting tools. Strong technical inspection skills but no programming or data analytics experience.",0
"Respiratory therapist with 9 years of clinical experience managing ventilator patients and administering respiratory treatments. Worked in ICU and emergency department settings. Associate's degree in Respiratory Therapy with RRT credential. Used medical equipment and EMR systems. Strong clinical skills but no background in programming or data science.",0
"Professional dog trainer with 10 years of experience in obedience training, behavior modification, and service dog preparation. Built successful training business and managed client relationships. Multiple certifications in animal behavior. Used basic scheduling and client management tools. Strong training and assessment skills but no technical or analytical background.",0
"Cruise ship entertainment director with 8 years of hospitality experience managing onboard activities and performances. Coordinated staff of 20 and organized events for thousands of passengers. Bachelor's degree in Hospitality Management. Used basic scheduling and inventory systems. Strong entertainment and leadership skills but no programming or data analytics experience.",0
"Court interpreter with 12 years of experience providing Spanish-English translation for legal proceedings. Certified court interpreter with specialized legal vocabulary expertise. Bachelor's degree in Spanish. Used basic court systems and scheduling software. Strong language and legal knowledge but no technical or analytical background.",0
"Nail technician with 7 years of salon experience providing manicures, pedicures, and nail art services. Built loyal client base and managed appointment scheduling. State cosmetology license. Used salon booking software. Strong creative and customer service skills but no exposure to programming or data analytics.",0
"Cemetery manager with 15 years of experience overseeing grounds maintenance, burial services, and family relations. Managed staff and maintained detailed records. Associate's degree in Management. Used cemetery management software and basic Excel. Strong operational and compassionate service skills but no programming or technical analytics background.",0
"Elevator technician with 11 years of experience installing and maintaining elevator systems in commercial buildings. Expert in electrical systems and safety regulations. Journeyman certification with ongoing training. Used maintenance tracking software and diagnostic equipment. Strong technical mechanical skills but no programming or data analytics experience.",0
"Bridal consultant with 8 years of experience helping brides select wedding gowns and coordinating alterations. Managed client relationships and inventory for boutique. Some college in Fashion Merchandising. Used POS and inventory systems. Strong customer service and fashion knowledge but no technical or analytical background.",0
"Medical transcriptionist with 10 years of experience converting physician dictations into written medical reports. Expert in medical terminology and documentation standards. Certificate in Medical Transcription. Used transcription software and basic word processing. Strong listening and medical knowledge but no programming or data science experience.",0
"Landscape architect with 12 years of experience designing outdoor spaces for residential and commercial properties. Managed projects from concept through installation with budgets up to $1M. Bachelor's degree in Landscape Architecture. Used CAD software and project management tools. Strong design and project skills but no programming or data analytics background.",0
"Sign language interpreter with 9 years of experience providing ASL interpretation for educational and medical settings. Certified interpreter with specialized vocabulary in multiple domains. Bachelor's degree in Deaf Studies. Used basic scheduling and documentation systems. Strong communication and cultural knowledge but no technical or analytical background.",0
"Locksmith with 14 years of experience in residential and commercial lock installation and security systems. Managed mobile locksmith business and maintained customer relationships. Trade certification with ongoing training. Used basic invoicing and scheduling software. Strong technical security knowledge but no programming or data analytics experience.",0
"Music teacher with 11 years of experience teaching instrumental and vocal music in K-12 schools. Directed school bands and orchestras and prepared students for competitions. Master's degree in Music Education. Used basic grading and scheduling systems. Strong musical and educational skills but no technical or analytical background.",0
"Medical equipment sales representative with 10 years of experience selling diagnostic and surgical equipment to hospitals. Managed territory with $5M annual quota and built physician relationships. Bachelor's degree in Biology. Used CRM systems and basic Excel for sales tracking. Strong medical knowledge and sales skills but no programming or data analytics experience.",0
"Zookeeper with 8 years of experience caring for exotic animals and managing habitat environments. Expert in animal behavior and welfare standards. Bachelor's degree in Zoology. Used basic animal tracking and inventory systems. Strong animal care and educational skills but no programming or data science background.",0
"Watch repair technician with 16 years of experience servicing luxury timepieces and antique clocks. Expert in mechanical movement repair and restoration. Certification from watchmaking school. Used basic inventory and work order systems. Strong precision technical skills but no programming or data analytics experience.",0
"Mortician with 12 years of experience in embalming and preparation services for funeral homes. Maintained compliance with health regulations and provided family consultations. Licensed mortician with degree in Mortuary Science. Used funeral home management software. Strong technical and compassionate skills but no programming or data analytics background.",0
"Piano tuner with 20 years of experience tuning and repairing acoustic pianos for homes and concert venues. Expert in piano mechanics and acoustic principles. Certification from piano technicians guild. Used basic scheduling and invoicing software. Strong musical and mechanical skills but no technical or analytical background.",0
"Animal shelter manager with 9 years of experience overseeing shelter operations, adoptions, and animal welfare programs. Managed staff of 15 and volunteers. Bachelor's degree in Animal Science. Used shelter management software and basic reporting. Strong animal welfare and leadership skills but no programming or data science experience.",0
"Tailor with 18 years of experience in custom suit making and alterations for high-end clientele. Managed bespoke tailoring shop and trained apprentices. Trade certification with ongoing training. Used basic POS and client tracking systems. Strong craftsmanship skills but no technical or analytical background.",0
"Tour guide with 10 years of experience leading historical and cultural tours in major metropolitan area. Developed tour content and managed group logistics for thousands of visitors. Bachelor's degree in History. Used booking and scheduling software. Strong public speaking and historical knowledge but no programming or data analytics experience.",0
"Florist shop owner with 14 years of experience designing floral arrangements for events, weddings, and daily retail. Managed staff, inventory, and vendor relationships. Associate's degree in Floral Design. Used POS and inventory systems. Strong creative and business skills but no technical or analytical background.",0
"Athletic trainer with 8 years of experience providing injury prevention and rehabilitation for college athletes. Managed sports medicine program and coordinated with coaching staff. Master's degree in Athletic Training with board certification. Used injury tracking systems and basic reporting. Strong clinical sports medicine skills but no programming or data science background.",0
"Golf course superintendent with 15 years of experience managing turf maintenance and grounds operations for championship courses. Supervised crew of 20 and managed equipment budgets. Certification in Turfgrass Management. Used basic maintenance scheduling software. Strong agronomic and leadership skills but no programming or data analytics experience.",0
"Museum curator with 11 years of experience developing exhibitions and managing collections for natural history museum. Conducted research and coordinated acquisitions and loans. Master's degree in Museum Studies. Used collections management software. Strong research and curatorial skills but no programming or data science background.",0
"Bakery owner with 12 years of experience in artisan bread and pastry production. Managed staff, developed recipes, and built wholesale accounts. Culinary degree with specialized pastry training. Used POS and basic inventory systems. Strong culinary and business skills but no technical or analytical background.",0
"Perfumer with 10 years of experience creating fragrances for cosmetic companies and private clients. Expert in scent composition and raw materials sourcing. Chemistry background with specialized fragrance training. Used basic formulation tracking systems. Strong creative and chemistry knowledge but no programming or data analytics experience.",0
"Yacht captain with 16 years of maritime experience operating private and charter vessels up to 150 feet. Held USCG Master license with various endorsements. Managed crew and maintained vessel compliance. Used navigation systems and basic voyage planning software. Strong maritime and leadership skills but no programming or data analytics background.",0
"Costume designer with 9 years of experience creating costumes for theater, film, and television productions. Managed design teams and budgets for major productions. MFA in Costume Design. Used basic design software and scheduling tools. Strong creative and project management skills but no technical or analytical background.",0
"Equine veterinarian with 11 years of experience treating horses in racing, sport, and pleasure settings. Expert in lameness diagnosis and sports medicine. DVM with equine specialty training. Used practice management software. Strong veterinary and equine knowledge but no programming or data science experience.",0
"Private investigator with 14 years of experience conducting surveillance, background checks, and insurance fraud investigations. Licensed PI with law enforcement background. Used case management and basic reporting tools. Strong investigation and documentation skills but no programming or data analytics background.",0
"Wine maker with 12 years of experience in vineyard management and wine production at established winery. Managed harvest operations and developed award-winning varietals. Degree in Viticulture and Enology. Used basic production tracking systems. Strong agricultural and wine production skills but no technical or analytical background.",0
"Midwife with 10 years of experience providing prenatal care and attending births in hospital and home settings. Certified nurse midwife with advanced practice license. Master's degree in Nurse Midwifery. Used EMR systems for documentation. Strong clinical and patient care skills but no programming or data science experience.",0
"Auctioneer with 15 years of experience conducting live auctions for art, antiques, and estate sales. Licensed auctioneer with specialized expertise in fine art valuation. Some college in Art History. Used auction management software and basic client tracking. Strong appraisal and public speaking skills but no programming or data analytics background.",0
"Golf instructor with 9 years of experience teaching players of all skill levels at private country club. PGA certified professional with tournament experience. Bachelor's degree in Sports Management. Used basic scheduling and student tracking systems. Strong teaching and golf skills but no technical or analytical background.",0
"Jeweler with 18 years of experience in jewelry design, fabrication, and repair. Managed custom design business and maintained client relationships. Graduate Gemologist certification. Used basic design and inventory software. Strong craftsmanship and gemology knowledge but no programming or data analytics experience.",0
"Ski patrol director with 12 years of experience managing mountain safety operations at major ski resort. Supervised team of 30 patrollers and coordinated avalanche control. EMT certification with wilderness medicine training. Used dispatch and incident tracking systems. Strong emergency response and leadership skills but no programming or data science background.",0
"Orchestra conductor with 20 years of experience leading symphony orchestras and opera productions. Held music director positions at regional orchestras. Doctorate in Musical Arts. Used basic scheduling and programming software. Strong musical leadership and interpretation skills but no technical or analytical background.",0
"Acupuncturist with 10 years of experience treating patients using traditional Chinese medicine techniques. Managed private practice and developed treatment protocols. Master's degree in Acupuncture with state licensure. Used practice management software. Strong clinical and healing skills but no programming or data analytics experience.",0
"Food stylist with 8 years of experience preparing food for photography and video in advertising and editorial settings. Collaborated with photographers and creative directors on major campaigns. Culinary degree with specialized styling training. Used basic scheduling and portfolio tools. Strong creative and culinary skills but no technical or analytical background.",0
"Stadium operations manager with 11 years of experience overseeing event operations for professional sports venue seating 50,000+. Managed staff of 200+ during events and coordinated with multiple departments. Bachelor's degree in Sports Management. Used event management and ticketing software. Strong operations and leadership skills but no programming or data science background.",0
"Art therapist with 9 years of experience using creative expression for mental health treatment in clinical and school settings. Developed therapeutic programs and facilitated group sessions. Master's degree in Art Therapy with board certification. Used case management systems. Strong therapeutic and creative skills but no programming or data analytics experience.",0
"Brewmaster with 14 years of craft beer production experience developing recipes and managing brewing operations. Built award-winning beer portfolio and managed distribution relationships. Brewing science certification. Used basic production tracking and inventory systems. Strong brewing and business skills but no technical or analytical background.",0
"Immigration attorney with 12 years of experience representing clients in visa applications, deportation defense, and naturalization. Managed law practice and mentored junior attorneys. JD with immigration law specialization. Used case management software and legal research databases. Strong legal knowledge but no programming or data science experience.",0
"Yoga studio owner with 10 years of experience teaching classes and managing wellness business. Developed teacher training programs and built community following. Multiple yoga certifications including 500-hour RYT. Used booking and basic business software. Strong wellness and business skills but no technical or analytical background.",0
"Arborist with 15 years of experience in tree care, removal, and urban forestry management. Managed tree service company and trained crews on safety practices. ISA certified arborist. Used basic estimating and scheduling software. Strong horticultural and business skills but no programming or data analytics experience.",0
"Political campaign manager with 11 years of experience directing local and state election campaigns. Managed budgets, staff, and voter outreach strategies. Bachelor's degree in Political Science. Used campaign management software and basic polling tools. Strong political strategy and leadership skills but no programming or data science background.",0
